,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
" akwa ɔ̄li ta pal āꞩ, ",128,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,ref,sp,uniq,nfam,,,,,,,,
"tuwəl Ta PA pı̮ɣe tot ɔli, ",129,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,sg,possnp,ref,sp,uniq,w_brdg,,,,,,,,
TPA luu̯ sist uuli,130,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
 pı̮ɣe ɔ̄s luu̯ sist unli,131,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
 ꞩar kȯt'il't wit χɔ̄n ɔ̄ı̯ka akw pal pɔ̄χèt MSχ ɔ̄s luw sist ūnli tau̯ ,132,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,ref,sp,uniq,nfam,,,,,,,,
MSχ pı̮ɣe takwi pɔ̄χèt luw sist ūnli,133,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,sg,possnp,ref,sp,uniq,w_brdg,,,,,,,,
 wit χɔ̄n ɔ̄ı̯ka ani kot'il't wit tara nɔ̄ŋχ ti nēı̮ɣlum,134,0,A,AxV,ti,pst,evid,none,npfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
 waŋnaɣe ɔ̄s kātaɣe witnəl tūp neı̮ɣlumət,135,0,A,AxV,NoPtcl,pst,evid,none,npfv,I,pl,possnp,ref,sp,uniq,w_brdg,,,,,,,,
 kāt χopı̯aɣe tūp neı̮ɣlamı̮ɣ,136,0,A,AxV,NoPtcl,pst,evid,none,npfv,I,du,possnp,ref,sp,uniq,w_brdg,,,,,,,,
" atit χum ɔ̄s ɔ̄li, ",137,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,typid,sp,uniq,nfam,,,,,,,,
ꞩaχəl tɔ̄rŭn ɔı̯ka ɔ̄s luu sist ūnli,138,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,ref,sp,uniq,nfam,,,,,,,,
" ꞨTϽ tuu̯ wārŭm wāramal'e pı̮ɣaɣe alawesı̮ɣ, ",139,X,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,H,du,possnp,ref,sp,uniq,w_brdg,
pı̮ɣaɣe kisne maɣəs tan χɔ̄nt wɔ̄wi,140,1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,pron,act,sp,uniq,strg,I,sg,barenp,typid,nonsp,nuniq,nfam,
 ꞩaχəl tϽ mȯrtim māt ɔ̄li,141,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,
 tot nȯwəl matɒs χūl āluŋkwe ı̯ȯχtuŋkwe,142,0,INF-A,VP,NoPtcl,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 tūr tēp āstēp  wārne maɣəs tı̮ɣ ı̯is,143,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" tı̮ɣl'e āsən ı̯oχtəs, ",144,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"ta sunsı̮ɣlaste, ",145,1,AP,V,ta,pst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
akw mat sunsi,146,X,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" wite l'ul'it χul,",147,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
 ꞩire sāt χul tot ta ɔ̄li ,148,0,A,AxV,ta,npst,ind,none,npfv,A,pl,barenp,ref,nonsp,nuniq,w_prcp,,,,,,,,
ı̯oli mā at nāŋki,149,0,A,AV,NoPtcl,npst,ind,neg,npfv,I,sg,barenp,ref,sp,uniq,w_glob,,,,,,,,
 akwaı̮ɣ wite ȯsitχul,150,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
 ta mā χɔntəs ,151,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,sg,demnp,act,sp,uniq,strg,
ɔ̄s tuu̯ ta ɔ̄lmaı̯ɒs,152,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 saka reɣəŋ tul puwsəŋ χɔ̄tɒl,153,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
 ꞩaχəl ta χarsatas,154,0,A,AV,ta,pst,ind,none,pfv,If,sg,barenp,typid,sp,nuniq,nfam,,,,,,,,
 χāp witu pats,155,0,A,AV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,ref,sp,uniq,w_brdg,,,,,,,,
