,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
man̩ piɧe nupil l<ā>vs.,335,0,A,V,,pst,ind,,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
"man̩ piɧ naŋ juv ꞩa<łt>sen,",336,0,A,AV,,npst,imp,,pfv,2,sg,barenp,top,sp,uniq,sap,,,,,,,,
"kinseln.""",337,1,AP,V,,npst,imp,,npfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,
<ū>sьŋ <ō>tьr <ō>jka man̩ piɧ v<ā>ŋha kivirn ꞩaltь<ə>s.,338,0,A,AxV,,pst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
kin̩saŋkve patste.,339,0,INF-AP,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
akmat<ē>rt k<ā>te hottal̩e ti hōjame sujtь<ə>s.,340,0,A,AV,,pst,ind,,pfv,I,abst,possnp,ref,sp,uniq,w_prcp,,,,,,,,
J<ō>mas mala<ꞩ>laŋk[v]e patste,341,0,INF-AP,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
n<ē> huripa!,342,,,,,,,,,,,,,,,,,,,,,,,
"kona totu<ɒ>nk[v]e patste,",343,1,INF-AP,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,
at taŋhi kona.,344,0,A,V,,npst,ind,neg,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
elamholas ꞩiri<ə>l potьrtaŋk[v]e pats:,345,0,INF-A,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
toha l<ā>vi:,346,0,A,V,,npst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"""am hom<m>os sup tal kona kaleɧo̮m.""",347,0,A,AxV,,npst,ind,quest,pfv,1,sg,pron,top,sp,uniq,sap,,,,,,,,
<ū>sьŋ <ō>tьr <ō>jka ma<ń> piɧ supe hot <ā>ŋh[a]ste,348,1,AP,APV,,pst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,I,sg,possnp,uniq,sp,uniq,w_brdg,
n<ē>t<ē>n mastaste.,349,1,AP,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg,
n<ē>t<ē> sup masəs,350,1,A,APV,,pst,ind,,pfv,H,sg,possnp,top,sp,uniq,strg,I,sg,barenp,top,sp,uniq,strg,
